Join_Time,Messages,Location
364,5,Singapore
3038,8,Oregon
4621,10,N. Virginia
4445,12,Ireland
3336,11,Oregon
3199,12,Ireland
2517,8,Singapore
4233,14,N. Virginia
5093,12,Singapore
2332,8,Ireland
3870,14,Oregon
4422,14,Singapore
3935,15,Ireland
4730,20,N. Virginia
2196,21,Oregon
5096,14,Sao Paulo
4634,10,N. Virginia
5029,23,Oregon
3585,19,Singapore
4606,25,Ireland
3812,13,N. Virginia
3992,28,Sao Paulo
4840,28,Oregon
5046,24,Sydney
5218,35,N. Virginia
3215,25,Tokyo
5036,37,Singapore
5868,33,Ireland
1803,8,Tokyo
5808,42,Sao Paulo
